"","i0.0","i0.1","i0.2","i0.3","i0.4","i0.5","i0.6","i0.7","i0.8","i0.9","i0.10","i0.11","i0.12"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,-0.001,-0.001,-0.001,-0.00374050815426431,-0.00349267092260143,-0.0145622618216867,-0.00295835710952604,-0.00149273599581526,-0.00284958052596917,-0.00400088531818653,-0.00307158418900779,-0.00959960788793644
"3",0,-0.001,-0.001,-0.001,-0.00684811447567605,-0.00639437459227889,-0.0266605583698536,-0.00541615398508576,-0.00273289792715765,-0.00521700604428495,-0.00732481244072618,-0.00562344988448209,-0.0175749419669749
"4",0,-0.001,-0.001,-0.001,-0.0108205866883074,-0.0101036401828597,-0.0421258850190586,-0.00855797079926242,-0.00431820452712067,-0.0082433005984521,-0.011573808859649,-0.00888551544786838,-0.0277698604150231
"5",0,0.00168322866941894,0.00308165151405422,0.00486926400973832,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
"6",0,0.00157170191517065,0.0028774685665255,0.00454663808228687,-0.001,0.000315,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
"7",0,0.006553017819759,0.0119972512664341,0.0189566482585764,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
"8",0,0.00133126069928672,0.00243726929328859,0.00385108685966809,-0.003,-0.003,-0.003,-0.001,-0.003,-0.003,-0.003,-0.000726791544327766,-0.00227143825872735
"9",0.000315,0.000671731198116869,0.00122980406722094,0.0019431920372043,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0014403812451318,-0.00450161685682772
"10",0,0.00128231123668613,0.00234765271992823,0.00370948526930344,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000754535242191194,-0.0023581455095992
"11",0,0.00180039839318394,0.00329616559832678,0.00520821398684205,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00167955964421428
"12",0.000595,0.00138221288505351,0.00253055244801694,0.00399848195154077,-0.001,-0.001,-0.001,0.000617772812678601,0.00122432405836203,0.000641354955862515,-0.001,0.000595,-0.00218770676890551
"13",0,0.0043198235495714,0.00790872388513869,0.0124964371867604,-0.001,-0.001,-0.001,0.00193072251991825,0.00382637432830356,0.00200442368315932,0.00142762569758214,0.00185955075356969,-7e-04
